Titre du documentaire,Tags,Réalisateur.ice,Date,Liens,Pays
"Turquie : le divorce ou la mort ","Turquie, divorce","Chloe Fairweather - Sinead Kirwan Production - ARTE ",2020,https://www.arte.tv/fr/videos/088615-000-A/turquie-le-divorce-ou-la-mort/,Royaume-Uni
"Histoire d'A ","IVG, avortement, planning familial","Charles Belmont, Marielle Issartel - Planning familial ",1974,,France
"Mexique : Bloque Negro, la révolution féministe","Black Blocs, Mexique, révolution",Manon Heurtel - ARTE reportages,2021,https://www.arte.tv/fr/videos/101555-000-A/mexique-bloque-negro-la-revolution-feministe/?fbclid=IwAR38HhY0Bd7EpdPOnC_oBtfWQAN_0jnNRiRkiPaS6wACYDoZklfq6E9MPH0,Mexique
Féminicides en Turquie : la révolte des femmes,"Turquie, féminicides, violences",ARTE regards,2020,https://www.arte.tv/fr/videos/098419-005-A/arte-regards-feminicides-en-turquie-la-revolte-des-femmes/,Allemagne
"Syrie : Rojava, la révolution faites par les femmes","Syrie, lutte pour les droits des femmes, révolution, égalité",Mylène Sauloy - ARTE reportages,2018,https://www.arte.tv/fr/videos/084989-000-A/syrie-rojava-la-revolution-par-les-femmes/,France
Soeurs d'armes,"Kurdes, lutte pour les droits des femmes",Caroline Fourest (Metropolitan Filmexport),2019,,France
Soudan : les femmes en première ligne,"Soudan, activisme, lutte pour les droits des femmes, militantisme","Sara Creta, Mehdi Meddeb - ARTE reportages",2019,https://www.arte.tv/fr/videos/089499-000-A/soudan-les-femmes-en-premiere-ligne/,France
Elle l'a bien cherché,"culture du viol, justice, viol, violences sexuelles",Laetitia Ohnona - ARTE,2018,https://www.arte.tv/fr/videos/075213-000-A/elle-l-a-bien-cherche/,France
"""PAPA IL A TUÉ MAMAN"" : la révolte des Collages Féminicides","collages, féminicides",Simon BOUVIER - Premières lignes,2020,,France
Argentine : la révolte des femmes,"Argentine, Ni una menos, féminicides",Karen Naundorf - ARTE reportages,2019,https://www.arte.tv/fr/videos/091749-000-A/argentine-la-revolte-des-femmes/,France
"Génération Brut ","LGBT, LGBTQIA+, amour.s, sexualité.s, transidentités","Anouk Burel, Raphaël Tresanini, Olivier Lemaire, Andrea Rawlins Gaston, Mélanie van der Ende",2021,,France
"(Sur)vivre sans sexe, vivre sans sexualité ","asexualité, sexualité.s","Ovidie, Tancrède Ramonet, Séverine Cassar",2021,https://www.franceculture.fr/emissions/lsd-la-serie-documentaire/vivre-sans-sexualite-14-sexualites-empechees,France
Inde - Vent d’espoir pour les petites filles ?,"Inde, avortement sélectif, tabou, éducation",Rama Rau - ARTE - Voyages et découvertes - Vies d'ailleurs,2019,https://www.arte.tv/fr/videos/082744-000-A/inde-vent-d-espoir-pour-les-petites-filles/?fbclid=IwAR0tk-C3DBcISCvK791TF3maWSdHfxh4-Gw1mgfOHDLVb8-agU3PNajKt3k,Canada
,,,,,
