Titre du livre,Tags,Auteur.ice.s,Année,Pays,Genre littéraire
Si je veux : Mère célibataire par choix,"désir d'enfant,famille monoparentale,maternité,mère célibataire",Johanna Luyssen,2022,France,Autobiographie
Eating Fire: My Life as a Lesbian Avenger,"LGBT,LGBTQIA+,activisme,lesbianisme,lesbienne,militantisme",Kelly Cogswell,2014,Etats-Unis,Autobiographie
And Then I Danced: Traveling the Road to LGBT Equality,"LGBT,LGBTQIA+,homosexualité,visibilité LGBT",Mark Segal,2015,Etats-Unis,Autobiographie
When We Were Outlaws: A Memoir of Love and Revolution,"LGBT,LGBTQIA+,activisme,militantisme",Jeanne Córdova,2011,Etats-Unis,Mémoires
Personne ne m'a dit - Le journal d'un nouveau parent,"maternité,parentalité,post-partum,éducation",Hollie Mcnish,2018,Royaume-Uni,Autobiographie
Héroïnes de la rue,"activisme,collages,féminicides,lutte contre les violences,lutte des femmes",Marguerite Stern,2020,France,Autobiographie
Je suis une maudite sauvagesse - Indiennes d’Amérique du Nord,"anticolonialisme,lutte des femmes,premières nations,refus de l'assimilation",An Antane Kapesh,1976,"Canada,Québec",Mémoires
Une vie,"avortement,contraception,femmes juives,lutte pour les droits",Simone Veil,2007,France,Autobiographie
Orange is the new Black : My Year in a Women's Prison,"LGBT,LGBTQIA+,lesbianisme,prison",Piper Kerman,2010,Etats-Unis,Autobiographie
"Open: Love,Sex,and Life in an Open Marriage","amour.s,polyamours,polygamie,relation non monogame,sexualité.s",Jenny Block,2009,Etats-Unis,Autobiographie
Heartbreak: The Political Memoir of a Feminist Militant,"viol,violences,violences sexuelles",Andrea Dworkin,2002,Etats-Unis,Autobiographie
Illégitimes,"mépris de classe,racisme,sexisme,transfuge de classe",Nesrine Slaoui,2021,France,Autobiographie
"Against memoir - Complaints,confessions & criticisms","LGBT,LGBTQIA+,queer",Michelle Tea,2018,Royaume-Uni,Autobiographie
Trans - A memoir,"LGBT,LGBTQIA+,personnes transexuelles,queer,transidentité",Juliet Jacques,2015,Royaume-Uni,Autobiographie
"Ce que je ne veux pas savoir","apartheid,exil,injonctions,patriarcat,racisme,sexisme",Deborah Levy,2020,"Afrique du Sud,Royaume-Uni",Autobiographie
Le coût de la vie,"deuil,injonctions,mère célibataire,parentalité,patriarcat,écriture,émancipation",Deborah Levy,2020,"Afrique du Sud,Royaume-Uni",Autobiographie
Bouche cousue,"désir d'enfant,figure paternelle,parentalité,paternité",Mazarine Pingeot,2005,France,Autobiographie
Le Cœur à rire et à pleurer,"Guadeloupe,féminisme décolonial,hybridité,racisme",Maryse Condé,2001,"France,Martinique",Autobiographie
Brûlée vive,"crime d'honneur,violences,violences conjugales,virginité",Souad,2003,Cisjordanie,Autobiographie
Nuit d'épine,"anti racisme,décolonisation,féminisme décolonial,racisme",Christiane Taubira,2019,"France,Guyane",Autobiographie
"Pas pour les filles ?","discriminations,sexisme,sexisme ordinaire,sport,stéréotypes",Mélissa Plaza,2019,France,Autobiographie
Ne vous résignez jamais,"avortement,criminalisation du viol,droits des femmes,lutte contre les violences",Gisèle Halimi,2009,"France,Tunisie",Autobiographie
Il me tue cet amour,"violences,violences conjugales",Marie Gervais,2020,France,Autobiographie
La petite dernière,"LGBT,femmes musulmanes,islam,lesbianisme,lesbienne,maladie",Fatima Daas,2020,Suisse,Autobiographie
La boîte noire,"agressions sexuelles,viol,violences sexuelles",Ito Shiori,2019,Japon,Autobiographie
Mariage arrangé,"mariage,mariage arrangé,maternité,sororité",Chitra Banerjee Divakaruni,2001,"Etats-Unis,Inde",Nouvelles
The New Woman's Broken Heart: Short Stories,"relation toxique,violences,violences conjugales",Andrea Dworkin,1980,Etats-Unis,Nouvelles
La femme rompue,"amour.s,couple,couple hétérosexuel,injonctions,maternité,monogamie,parentalité,émancipation",Simone de Beauvoir,1967,France,Nouvelles
L’enfant de la prochaine aurore,"crise écologique,grossesse,maternité,parentalité,écologie",Louise Erdrich,1985,Etats-Unis,Dystopie
Mon adolescence trans,"LGBT,LGBTQIA+,adolescence,transidentité",Fumettibrutti,2022,Italie,Roman graphique
L'histoire d'une huître - ou comment j'ai failli rater ma vie sexuelle,"asexualité,dysmorphophobie,endométriose,sexe féminin,sexualité.s,vaginisme",Cualli Carnago,2021,France,Roman graphique
Fruit of Knowledge: The Vulva vs. The Patriarchy,"cycles,menstruations,règles,sexualité féminine,sexualité.s",Liv Strömquist,2018,Suède,Roman graphique
Re : Contes - Une réponse,"injonctions,racisme,sexisme,sexisme ordinaire,stéréotypes",Mélie Boltz Nasr,2020,"France,Liban",Conte
La couleur pourpre,"inceste,racisme,sexisme,viol,violences,violences conjugales",Alice Walker,1982,Etats-Unis,Roman épistolaire
"Moi aussi","harcèlement au travail,harcèlement sexuel,patriarcat",Reiko Momochi,2020,Japon,Manga
